txop_num,duration,termination_time,From,To,Ended Properly
1,8655,1596829137,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
2,1273,1596831627,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
3,22532,1596854204,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
4,128,1596859369,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
5,128,1596859659,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
6,128,1596861009,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
7,128,1596869179,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
8,128,1596876865,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
9,1264,1596892344,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
10,128,1596892516,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
11,1959,1596899570,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
12,128,1596903771,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
13,1919,1596932316,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
14,129,1596937007,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
15,128,1596938279,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
16,128,1596939356,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
17,8422,1596953527,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
18,549,1596955614,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
19,460,1596956134,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
20,3218,1596959412,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
21,657,1596960637,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
22,129,1596960810,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
23,129,1596961276,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
24,128,1596962811,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
25,3212,1596976289,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
26,128,1596981062,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
27,129,1596993994,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
28,1454,1597004513,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
29,3570,1597008128,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
30,128,1597008300,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
31,128,1597011743,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
32,128,1597025509,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
33,5130,1597051127,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
34,2529,1597058873,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
35,1420,1597060338,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
36,3620,1597064814,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
37,205,1597101873,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
38,4304,1597106221,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
39,1080,1597107345,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
40,8712,1597118646,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
41,128,1597118818,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
42,80498,1597224461,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
43,45067,1597331385,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
44,128,1597331513,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
45,129,1597348784,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
46,44,1597349610,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,yes
47,346,1597388053,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,no
48,365,1597388462,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,no
49,6220,1597394726,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,no
50,13492,1597410112,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
51,5150,1597415262,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
52,4201,1597421244,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
53,1824,1597423112,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
54,128,1597423285,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
55,128,1597426147,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
56,6283,1597433976,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
57,840,1597434860,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
58,8951,1597445669,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
59,19839,1597465508,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
60,128,1597466862,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
61,136,1597503474,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
62,4212,1597516537,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
63,2457,1597520949,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
64,3386,1597524379,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
65,44,1597525245,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,yes
66,65660,1597591089,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
67,1895,1597595626,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
68,50229,1597645900,1c:28:af:1f:0d:94,ec:4c:8c:39:47:f2,no
69,3837,1597666794,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
70,236,1597667074,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
71,31434,1597698553,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
72,128,1597698726,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
73,6767,1597746876,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
74,3010,1597752764,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
75,914,1597753723,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
76,31739,1597785507,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
77,31469,1597817021,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
78,463,1597817528,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
79,1283,1597818855,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
80,84285,1597903185,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
81,11428,1597917752,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
82,963,1597918760,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
83,4883,1597923688,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
84,58977,1597982709,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
85,61,1597986150,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,yes
86,44,1598195522,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,yes
87,61,1598248014,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,yes
88,60,1598250218,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,yes
89,34790,1598285310,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,no
90,128,1598285438,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
91,45,1598342144,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,yes
92,1049,1598343435,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
93,4978,1598348458,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
94,129,1598348631,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
95,128,1598358079,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
96,129,1598361651,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
97,128,1598363736,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
98,128,1598366389,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
99,1132,1598387719,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
100,1132,1598388895,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
101,1729,1598390669,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
102,8149,1598398863,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
103,128,1598399035,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
104,129,1598399344,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
105,128,1598399585,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
106,340,1598400053,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,no
107,605,1598400702,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
108,128,1598407223,98:bd:80:4d:67:be,1c:28:af:1f:0d:94,yes
109,128,1598420469,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
110,128,1598421372,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
111,128,1598421885,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
