txop_num,duration,termination_time,From,To,Ended Properly
1,47,3045871683,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2,60,3046701491,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
3,44,3046701730,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
4,44,3046704755,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
5,44,3046705680,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
6,115,3046722999,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
7,137,3046767378,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
8,46,3046802246,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
9,112,3046803434,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
10,112,3046804514,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
11,60,3046805941,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
12,47,3046812582,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
13,47,3046897680,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
14,112,3047095248,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
15,47,3047099495,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
16,119,3047103617,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
17,47,3047150317,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
18,112,3047200771,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
19,111,3047464659,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
20,118,3047472438,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
21,46,3047527339,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
22,133,3047531307,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
23,46,3047583376,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
24,111,3047605908,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
25,115,3047608241,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
26,46,3047614238,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
27,111,3047615238,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
28,112,3047633613,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
29,46,3047651595,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
30,112,3047652478,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
31,115,3047655936,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
32,46,3047662303,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
33,112,3047709944,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
34,112,3047725513,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
35,47,3047729381,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
36,112,3047868230,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
37,47,3047872232,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
38,111,3047872982,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
39,122,3047873282,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
40,46,3047879094,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
41,152,3047880141,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
42,47,3047884746,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
43,46,3048168476,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
44,126,3048170717,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
45,47,3048256722,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
46,46,3048317508,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
47,111,3048318347,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
48,45,3048322130,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
49,130,3048322897,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
50,111,3048324030,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
51,180,3048324387,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
52,47,3048327980,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
53,46,3048464404,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
54,111,3048466338,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
55,47,3048553634,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
56,46,3048601581,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
57,111,3048652874,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
58,61,3048713172,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
59,45,3048713337,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
60,45,3048713481,e4:c7:67:98:f7:6f,1c:28:af:1f:0d:91,no
61,44,3048716044,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
62,44,3048716144,1c:28:af:1f:0d:91,e4:c7:67:98:f7:6f,no
